date,high,low,open,close,volume,quoteVolume,weightedAverage
2021-08-13,47862.84,44231.21,44405.39,47815.6,827.32140664,38193130.42696901,46164.80381195
2021-08-14,48183.34,46019.0,47815.0,47056.75,695.35276266,32595620.96460424,46876.38090328
2021-08-15,47354.26,45506.07,47088.7,46988.89,516.87166475,23990909.15488195,46415.6013785
2021-08-16,48034.42,45665.09,46989.15,45931.96,708.62522715,33262221.95721909,46939.08808608
2021-08-17,47170.93,44399.0,45877.43,44690.86,655.08508129,29898764.60778654,45641.04031938
2021-08-18,46018.5,44221.0,44682.02,44725.92,625.28787833,28197212.15489373,45094.76855716
2021-08-19,47026.49,43935.29,44693.74,46775.0,995.51644967,44858709.63874814,45060.74174225
2021-08-20,49390.0,46640.65,46772.84,49314.9,504.67782869,24155105.80871106,47862.42714765
2021-08-21,49767.99,48238.08,49331.72,48830.61,691.34575088,33904957.5111416,49041.96990866
2021-08-22,49498.0,48083.64,48828.07,49242.6,509.39453849,24920986.03033453,48922.75858356
2021-08-23,50500.0,49036.49,49227.59,49529.47,924.71058532,46122016.97980816,49877.24560744
2021-08-24,49855.01,47565.39,49482.43,47708.36,833.6782528,40685823.2050329,48802.78820802
2021-08-25,49244.82,47130.0,47672.38,48975.5,845.16946883,40712169.15803843,48170.4210333
2021-08-26,49334.07,46315.54,48975.5,46845.16,806.25084456,37997519.11699435,47128.6565135
2021-08-27,49142.89,46365.49,46839.49,49069.51,838.27015557,40025074.30022656,47747.22568169
2021-08-28,49279.56,48367.41,49069.51,48876.08,702.28739612,34313600.76960488,48859.77017269
2021-08-29,49615.52,47800.0,48878.11,48762.18,634.42138331,30852910.66857176,48631.57434511
2021-08-30,48868.04,46859.57,48761.6,46980.97,647.73438454,31035706.67113569,47914.24913033
2021-08-31,48237.8,46701.65,46959.01,47114.67,1033.84866482,48969958.43943825,47366.66023354
2021-09-01,49131.3,46525.0,47104.12,48831.18,836.49727225,39860102.85378402,47651.2048229
2021-09-02,50390.0,48601.24,48823.59,49260.0,841.50071419,41831615.18384285,49710.73045862
2021-09-03,51007.0,48333.53,49248.14,49980.26,1007.16546173,50163215.871248,49806.33051602
2021-09-04,50520.96,49306.1,49993.42,49906.94,936.45391296,46803863.20428278,49979.88962034
2021-09-05,52139.01,49466.97,49924.41,51777.91,558.74699436,28381953.70460164,50795.71611317
2021-09-06,52756.91,50953.73,51777.91,52667.75,635.54586758,32941124.54422911,51831.23079638
2021-09-07,52920.95,43000.0,52691.46,46833.21,2215.83158622,107180877.9731966,48370.49829948
2021-09-08,47329.38,44450.0,46812.77,46085.22,1139.32723914,52389784.97894472,45983.08824643
2021-09-09,47404.7,45529.79,46057.71,46370.4,364.04215032,16916331.80060821,46468.05812386
2021-09-10,47015.81,44159.52,46372.71,44839.67,498.43503868,22733100.6747634,45608.95384675
2021-09-11,45711.07,44748.33,44855.49,45170.35,177.15034439,8017036.75031023,45255.55272227
2021-09-12,46435.17,44752.55,45161.21,46027.93,260.42017255,11906007.86361063,45718.45470736
2021-09-13,46841.73,43367.46,46038.73,44935.88,581.10318763,26051239.87563842,44830.66076764
2021-09-14,47248.93,44674.56,44935.88,47104.4,383.8125489,17739719.30572166,46219.74804253
2021-09-15,48428.96,46708.58,47105.27,48130.98,376.76341473,17956640.33951401,47660.25478451
2021-09-16,48480.0,47043.19,48126.16,47764.0,357.46195598,17091962.62688108,47814.7739667
2021-09-17,48139.99,46780.84,47755.28,47277.2,404.61250878,19203080.5088787,47460.42223652
2021-09-18,48810.4,47055.29,47293.0,48291.07,421.82743066,20360309.66817423,48266.91719957
2021-09-19,48358.34,46850.0,48305.59,47234.55,446.5164312,21269882.41372811,47635.16172644
2021-09-20,47316.0,42510.0,47241.63,43000.2,2051.39500465,90638127.53484067,44183.65421061
2021-09-21,43622.6,39586.31,43019.6,40679.77,1816.57922088,75886133.30793497,41774.19428544
2021-09-22,44005.94,40583.5,40679.77,43572.25,961.51024752,40740293.60170672,42371.14862455
